V1,Switch_From,Switch_To
R_elcp3jNgeeGgyDH,from Lenovo- IdeaPad,to Asus- EeePad
R_elcp3jNgeeGgyDH,from Asus- EeePad,to Samsung- Galaxy Tab
R_elcp3jNgeeGgyDH,from Motorola- Xoom,to Lenovo- IdeaPad
R_elGFMqPr0oC9c9L,from Apple iPad,to Apple iPad
R_elGFMqPr0oC9c9L,from Samsung- Galaxy Tab,to Apple iPad
R_elGFMqPr0oC9c9L,from Lenovo- IdeaPad,to Asus- EeePad
R_elGFMqPr0oC9c9L,from Asus- EeePad,to Lenovo- IdeaPad
R_elGFMqPr0oC9c9L,from Motorola- Xoom,to Samsung- Galaxy Tab
R_eLKJUX28bx6EYOV,from Apple iPad,to Apple iPad
R_eLKJUX28bx6EYOV,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_eLKJUX28bx6EYOV,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_eLKJUX28bx6EYOV,from Asus- EeePad,to Asus- EeePad
R_eLKJUX28bx6EYOV,from Motorola- Xoom,to Samsung- Galaxy Tab
R_elzYB7bhUSPtVul,from Apple iPad,to Apple iPad
R_elzYB7bhUSPtVul,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_elzYB7bhUSPtVul,from Lenovo- IdeaPad,to Asus- EeePad
R_elzYB7bhUSPtVul,from Asus- EeePad,to Lenovo- IdeaPad
R_elzYB7bhUSPtVul,from Motorola- Xoom,to Asus- EeePad
R_emLWoQuOLwyctNP,from Apple iPad,to Apple iPad
R_emLWoQuOLwyctNP,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_emLWoQuOLwyctNP,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_emLWoQuOLwyctNP,from Asus- EeePad,to Samsung- Galaxy Tab
R_emLWoQuOLwyctNP,from Motorola- Xoom,to Samsung- Galaxy Tab
R_emvVdptbnCF5r6Z,from Apple iPad,to Apple iPad
R_emvVdptbnCF5r6Z,from Samsung- Galaxy Tab,to Samsung- Galaxy Tab
R_emvVdptbnCF5r6Z,from Lenovo- IdeaPad,to Asus- EeePad
R_emvVdptbnCF5r6Z,from Asus- EeePad,to Motorola- Xoom
R_emvVdptbnCF5r6Z,from Motorola- Xoom,to Asus- EeePad
R_eR3SrWhgsXySesR,from Apple iPad,to Apple iPad
R_eR3SrWhgsXySesR,from Samsung- Galaxy Tab,to Apple iPad
R_eR3SrWhgsXySesR,from Lenovo- IdeaPad,to Apple iPad
R_eR3SrWhgsXySesR,from Asus- EeePad,to Apple iPad
R_eR3SrWhgsXySesR,from Motorola- Xoom,to Apple iPad
R_eWB1emCWknWWj09,from Apple iPad,to Samsung- Galaxy Tab
R_eWB1emCWknWWj09,from Samsung- Galaxy Tab,to Apple iPad
R_eWB1emCWknWWj09,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_eWB1emCWknWWj09,from Asus- EeePad,to Samsung- Galaxy Tab
R_eWB1emCWknWWj09,from Motorola- Xoom,to Samsung- Galaxy Tab
R_eWknmifRdA0OZdX,from Apple iPad,to Apple iPad
R_eWknmifRdA0OZdX,from Samsung- Galaxy Tab,to Apple iPad
R_eWknmifRdA0OZdX,from Lenovo- IdeaPad,to Apple iPad
R_eWknmifRdA0OZdX,from Asus- EeePad,to Apple iPad
R_eWknmifRdA0OZdX,from Motorola- Xoom,to Apple iPad
R_eWYwZ67uYWd0L2Z,from Apple iPad,to Samsung- Galaxy Tab
R_eWYwZ67uYWd0L2Z,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_eWYwZ67uYWd0L2Z,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_eWYwZ67uYWd0L2Z,from Asus- EeePad,to Lenovo- IdeaPad
R_eWYwZ67uYWd0L2Z,from Motorola- Xoom,to Lenovo- IdeaPad
R_eyfjlZEA2o2ZdNX,from Apple iPad,to Apple iPad
R_eyfjlZEA2o2ZdNX,from Samsung- Galaxy Tab,to Motorola- Xoom
R_eyfjlZEA2o2ZdNX,from Lenovo- IdeaPad,to Motorola- Xoom
R_eyfjlZEA2o2ZdNX,from Asus- EeePad,to Lenovo- IdeaPad
R_eyfjlZEA2o2ZdNX,from Motorola- Xoom,to Samsung- Galaxy Tab
R_s4Kw0Ye10nQNuLv,from Apple iPad,to Apple iPad
R_s4Kw0Ye10nQNuLv,from Samsung- Galaxy Tab,to Lenovo- IdeaPad
R_s4Kw0Ye10nQNuLv,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_s4Kw0Ye10nQNuLv,from Asus- EeePad,to Lenovo- IdeaPad
R_s4Kw0Ye10nQNuLv,from Motorola- Xoom,to Asus- EeePad
R_sBt0zbVop5J5oaZ,from Apple iPad,to Apple iPad
R_sBt0zbVop5J5oaZ,from Samsung- Galaxy Tab,to Motorola- Xoom
R_sBt0zbVop5J5oaZ,from Lenovo- IdeaPad,to Samsung- Galaxy Tab
R_sBt0zbVop5J5oaZ,from Asus- EeePad,to Lenovo- IdeaPad
R_sBt0zbVop5J5oaZ,from Motorola- Xoom,to Lenovo- IdeaPad
R_snhCOpK0li08xJD,from Apple iPad,to Apple iPad
R_snhCOpK0li08xJD,from Samsung- Galaxy Tab,to Apple iPad
R_snhCOpK0li08xJD,from Lenovo- IdeaPad,to Lenovo- IdeaPad
R_snhCOpK0li08xJD,from Asus- EeePad,to Asus- EeePad
R_snhCOpK0li08xJD,from Motorola- Xoom,to Asus- EeePad
